"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,4.480608230E1,2.047606730E1,1.398419734E2,1.843000031E2,NaN,NaN,8.235785283E-3,1.708699989E1,3.858332157E0,-1.000000000E0
1.634662551E0,4.480601893E1,2.047612134E1,1.161836015E2,1.606416016E2,5.920000076E0,1.958999939E2,1.432290508E-2,1.202948666E1,1.648421288E1,0.000000000E0
2.634380728E0,4.480596942E1,2.047608842E1,1.270630694E2,1.715211182E2,2.300000042E-1,1.958999939E2,2.135604154E-2,6.616132736E0,8.974857330E0,1.000000000E1
3.635704374E0,4.480603267E1,2.047608878E1,1.288835874E2,1.733416138E2,1.899999976E-1,1.958999939E2,2.195861774E-2,4.296054840E0,7.061836243E0,1.100000000E1
4.528597498E0,4.480603185E1,2.047609633E1,1.263784673E2,1.708364868E2,0.000000000E0,NaN,2.212602580E-2,3.790092468E0,2.500000000E0,1.100000000E1
5.528840831E0,4.480603124E1,2.047609439E1,1.272104355E2,1.716684570E2,0.000000000E0,NaN,2.443795879E-2,3.790092468E0,2.500000000E0,1.700000000E1
6.529004216E0,4.480602220E1,2.047612078E1,1.156403892E2,1.600983887E2,0.000000000E0,NaN,2.489720976E-2,8.511028290E0,6.480183125E0,1.700000000E1
7.529035310E0,4.480602349E1,2.047611525E1,1.202985875E2,1.647565918E2,0.000000000E0,NaN,2.654769151E-2,4.710983276E0,3.624771357E0,1.700000000E1
8.528779736E0,4.480601066E1,2.047610473E1,1.205435681E2,1.650015869E2,0.000000000E0,NaN,2.745775188E-2,3.790092468E0,2.563354969E0,1.600000000E1
9.528899215E0,4.480601657E1,2.047611271E1,1.223332506E2,1.667912598E2,0.000000000E0,NaN,2.785599120E-2,3.790092468E0,2.500000000E0,1.700000000E1
1.052855145E1,4.480601677E1,2.047611775E1,1.223640172E2,1.668220215E2,0.000000000E0,NaN,2.805392346E-2,3.790092468E0,2.500000000E0,1.700000000E1
1.152830270E1,4.480601553E1,2.047611595E1,1.224019179E2,1.668599243E2,0.000000000E0,NaN,2.825756036E-2,3.790092468E0,2.500000000E0,1.700000000E1
1.252900427E1,4.480601411E1,2.047611432E1,1.227604974E2,1.672185059E2,0.000000000E0,NaN,2.832854943E-2,3.790092468E0,2.500000000E0,1.700000000E1
1.352874197E1,4.480601465E1,2.047611384E1,1.230228873E2,1.674808960E2,0.000000000E0,NaN,2.840202194E-2,3.790092468E0,2.500000000E0,1.700000000E1
1.452839802E1,4.480601492E1,2.047611469E1,1.232972412E2,1.677552490E2,0.000000000E0,NaN,2.850650487E-2,3.790092468E0,2.500000000E0,1.600000000E1
1.552902817E1,4.480601583E1,2.047611502E1,1.234818122E2,1.679398193E2,0.000000000E0,NaN,2.855992085E-2,3.790092468E0,2.500000000E0,1.700000000E1
1.652888078E1,4.480601630E1,2.047611516E1,1.236709604E2,1.681289673E2,0.000000000E0,NaN,2.864426693E-2,3.790092468E0,2.500000000E0,1.800000000E1
1.752865588E1,4.480601555E1,2.047611500E1,1.235885625E2,1.680465698E2,0.000000000E0,NaN,2.875296694E-2,3.790092468E0,2.500000000E0,1.800000000E1
1.852850650E1,4.480601651E1,2.047611526E1,1.238402111E2,1.682982178E2,0.000000000E0,NaN,2.879793276E-2,3.790092468E0,2.500000000E0,1.800000000E1
1.952887223E1,4.480601688E1,2.047611549E1,1.238878799E2,1.683458862E2,0.000000000E0,NaN,2.903050581E-2,3.790092468E0,2.500000000E0,1.800000000E1
2.052874426E1,4.480601886E1,2.047611644E1,1.239747955E2,1.684328003E2,0.000000000E0,NaN,2.903832933E-2,3.790092468E0,2.500000000E0,1.800000000E1
2.152861416E1,4.480601893E1,2.047611643E1,1.239960968E2,1.684541016E2,0.000000000E0,NaN,2.903911826E-2,3.790092468E0,2.500000000E0,1.800000000E1
2.252852322E1,4.480601893E1,2.047611642E1,1.240050079E2,1.684630127E2,0.000000000E0,NaN,2.904320843E-2,3.790092468E0,2.500000000E0,1.700000000E1
2.352899765E1,4.480601890E1,2.047611639E1,1.240084259E2,1.684664307E2,0.000000000E0,NaN,2.904556812E-2,3.790092468E0,2.500000000E0,1.700000000E1
2.452900853E1,4.480601892E1,2.047611638E1,1.240105621E2,1.684685669E2,0.000000000E0,NaN,2.904792780E-2,3.790092468E0,2.500000000E0,1.700000000E1
2.552886093E1,4.480601894E1,2.047611639E1,1.240155060E2,1.684735107E2,0.000000000E0,NaN,2.905464598E-2,3.790092468E0,2.500000000E0,1.600000000E1
2.652877416E1,4.480601888E1,2.047611638E1,1.240129424E2,1.684709473E2,0.000000000E0,NaN,2.905923796E-2,3.790092468E0,2.500000000E0,1.600000000E1
2.752903900E1,4.480601885E1,2.047611634E1,1.240184966E2,1.684765015E2,0.000000000E0,NaN,2.906924551E-2,3.790092468E0,2.500000000E0,1.600000000E1
2.852809822E1,4.480601894E1,2.047611634E1,1.240115997E2,1.684696045E2,0.000000000E0,NaN,2.907249317E-2,3.790092468E0,2.500000000E0,1.700000000E1
2.952842978E1,4.480601896E1,2.047611631E1,1.240161773E2,1.684741821E2,0.000000000E0,NaN,2.908392334E-2,3.790092468E0,2.500000000E0,1.800000000E1
3.052746525E1,4.480601905E1,2.047611638E1,1.240300323E2,1.684880371E2,0.000000000E0,NaN,2.908864271E-2,3.790092468E0,2.500000000E0,1.600000000E1
3.152801410E1,4.480601909E1,2.047611640E1,1.240293000E2,1.684873047E2,0.000000000E0,NaN,2.909086661E-2,3.790092468E0,2.500000000E0,1.700000000E1
3.252703327E1,4.480601907E1,2.047611640E1,1.240195343E2,1.684775391E2,0.000000000E0,NaN,2.909538383E-2,3.790092468E0,2.500000000E0,1.800000000E1
