video,t_video_start_s,t_video_end_s,ts_utc_start,ts_utc_end,lane_from_right,note
v35,0.0,362.2,2026-07-02T13:59:31+00:00,2026-07-02T14:05:33.200000+00:00,0,"parked / market aisle, no marked lanes"
v33,0.0,105.8,2026-07-02T14:30:32+00:00,2026-07-02T14:32:17.800000+00:00,1,
v33,105.8,116.5,2026-07-02T14:32:17.800000+00:00,2026-07-02T14:32:28.500000+00:00,2,overtake move verified 105.8
v33,116.5,161.5,2026-07-02T14:32:28.500000+00:00,2026-07-02T14:33:13.500000+00:00,1,return verified ~116
v34,0.0,119.3,2026-07-02T14:33:52+00:00,2026-07-02T14:35:51.300000+00:00,1,
v34,119.3,132.5,2026-07-02T14:35:51.300000+00:00,2026-07-02T14:36:04.500000+00:00,2,verified 119.3-132.5
v34,132.5,197.5,2026-07-02T14:36:04.500000+00:00,2026-07-02T14:37:09.500000+00:00,1,
v34,197.5,230.0,2026-07-02T14:37:09.500000+00:00,2026-07-02T14:37:42+00:00,2,verified 197.5-230.0
v34,230.0,255.4,2026-07-02T14:37:42+00:00,2026-07-02T14:38:07.400000+00:00,1,"exit ramp (single-lane, turnaround)"
v36,0.0,118.3,2026-07-02T14:39:56+00:00,2026-07-02T14:41:54.300000+00:00,1,
v36,118.3,137.0,2026-07-02T14:41:54.300000+00:00,2026-07-02T14:42:13+00:00,2,"overtake truck, verified"
v36,137.0,316.3,2026-07-02T14:42:13+00:00,2026-07-02T14:45:12.300000+00:00,1,
v36,316.3,320.4,2026-07-02T14:45:12.300000+00:00,2026-07-02T14:45:16.400000+00:00,2,merged left behind truck queue at signal
